tick,baseline_z7,intervention_z7,baseline_q7,intervention_q7,differing_cells,differing_pulse_bits
0,31871,31871,0,0,0,0
1,31324,31324,0,0,0,0
2,30990,30990,1,1,0,0
3,33813,30693,0,0,1,0
4,32832,30489,1,1,1,0
5,35222,33461,0,0,1,0
6,33878,32554,1,1,1,0
7,35951,34955,1,0,1,1
8,37452,33633,0,1,1,1
9,35520,35704,1,0,1,1
10,37113,34200,0,1,1,1
11,35221,36060,1,1,1,0
12,36771,37395,0,0,1,0
13,34909,35371,1,1,1,0
14,36461,36802,0,0,1,0
15,34598,34847,1,1,1,0
16,36135,36316,1,0,1,1
17,37242,34392,0,1,1,1
18,35034,35867,1,0,1,1
19,36305,33957,0,1,1,1
20,34229,35429,1,0,1,1
21,35575,33505,0,1,1,1
22,33555,34958,1,0,1,1
23,34933,33008,0,1,2,1
24,32930,34438,1,1,4,0
25,34317,35445,0,0,4,0
26,32329,33172,1,1,5,0
27,33740,34369,0,0,5,0
28,31766,32235,1,1,5,0
29,33193,33542,0,0,5,0
30,31225,31484,1,1,5,0
31,32672,32867,0,0,5,0
32,30711,30854,1,1,5,0
33,32213,32320,0,0,5,0
34,30309,30387,1,0,5,1
35,31881,28916,0,1,5,1
36,30012,30822,1,0,5,1
37,31641,29200,0,1,5,1
38,29802,31026,1,0,5,1
39,31480,29329,0,1,5,1
