step,level_used,level_next,growth,pulses,latches,mass_u,mass_v,total_input,total_output,errors
0,1,1,0,0,31294,3440685,1767418,3891902693,0,0
1,1,1,0,6068,31872,3404236,1803867,7481019173,6068,0
2,1,1,0,125004,32382,3367820,1840283,10860126264,131072,0
3,1,1,0,16147,33573,3331463,1876640,14396965225,147219,0
4,1,1,0,63586,33483,3295231,1912872,17765406212,210805,0
5,1,1,0,40706,34067,3259095,1949008,21152537545,251511,0
6,1,1,0,44349,33686,3223076,1985027,24481836981,295860,0
7,1,1,0,81953,34421,3187147,2020956,27778689718,377813,0
8,1,1,0,36237,34033,3151301,2056802,31113953501,414050,0
9,1,1,0,51080,34541,3115541,2092562,34388308550,465130,0
10,1,1,0,37946,34396,3079871,2128232,37660363956,503076,0
11,1,1,0,48634,34746,3044297,2163806,40889888884,551710,0
12,1,1,0,43421,34671,3008816,2199287,44118819263,595131,0
13,1,1,0,77443,34916,2973436,2234667,47329953047,672574,0
14,1,1,0,44524,34871,2938169,2269934,50580270132,717098,0
15,1,2,1,43155,35076,2903001,2305102,53809032834,760253,0
16,2,2,0,45208,35098,2867965,2340138,57016665461,805461,0
17,2,2,0,42947,35128,2833070,2375033,60213434266,848408,0
18,2,2,0,46409,35242,2798308,2409795,63393916132,894817,0
19,2,2,0,43264,35302,2763703,2444400,66571759673,938081,0
20,2,2,0,77408,35323,2729268,2478835,69736228021,1015489,0
21,2,2,0,41685,35409,2695024,2513079,72944231722,1057174,0
22,2,2,0,45368,35470,2660994,2547109,76125032790,1102542,0
23,2,2,0,43190,35526,2627205,2580898,79295723326,1145732,0
24,2,2,0,43879,35515,2593647,2614456,82451089731,1189611,0
25,2,2,0,44923,35506,2560460,2647643,85596097187,1234534,0
26,2,2,0,43320,35648,2527702,2680401,88735261768,1277854,0
27,2,2,0,46556,35617,2495557,2712546,91863834990,1324410,0
28,2,2,0,71154,35690,2464452,2743651,94992596685,1395564,0
29,2,2,0,44263,35644,2435138,2772965,98148310870,1439827,0
30,2,2,0,42652,35632,2408552,2799551,101289785097,1482479,0
31,2,3,1,43821,35730,2385398,2822705,104415104515,1526300,0
32,3,3,0,43896,36041,2366273,2841830,107532085707,1570196,0
33,3,3,0,43905,36187,2351292,2856811,110642471612,1614101,0
34,3,3,0,44752,36136,2340368,2867735,113747161154,1658853,0
35,3,3,0,71622,36227,2333283,2874820,116849636938,1730475,0
36,3,3,0,43386,36137,2329026,2879077,119984670337,1773861,0
37,3,3,0,43068,36246,2326581,2881522,123106246104,1816929,0
38,3,3,0,43542,36185,2325031,2883072,126216424851,1860471,0
39,3,3,0,43634,36296,2323911,2884192,129319542646,1904105,0
40,3,3,0,43546,36180,2322983,2885120,132417233794,1947651,0
41,3,3,0,44470,36279,2322197,2885906,135510510281,1992121,0
42,3,3,0,45389,36196,2321519,2886584,138602663927,2037510,0
43,3,3,0,69247,36324,2320934,2887169,141695421070,2106757,0
44,3,3,0,43234,36248,2320437,2887666,144817912790,2149991,0
45,3,3,0,43445,36335,2319990,2888113,147928811501,2193436,0
46,3,3,0,43330,36246,2319598,2888505,151031357901,2236766,0
47,3,4,1,44011,36344,2319265,2888838,154127222593,2280777,0
48,4,4,0,43821,36580,2318971,2889132,157224509928,2324598,0
49,4,4,0,45157,36753,2318714,2889389,160322091654,2369755,0
50,4,4,0,69633,36735,2318501,2889602,163423447189,2439388,0
51,4,4,0,43704,36791,2318313,2889790,166557902595,2483092,0
52,4,4,0,43361,36760,2318156,2889947,169683278291,2526453,0
53,4,4,0,44235,36810,2318027,2890076,172800683022,2570688,0
54,4,4,0,43664,36781,2317911,2890192,175914731819,2614352,0
55,4,4,0,44595,36817,2317826,2890277,179024211255,2658947,0
56,4,4,0,44487,36777,2317759,2890344,182133044337,2703434,0
57,4,4,0,70056,36783,2317703,2890400,185240575999,2773490,0
58,4,4,0,43386,36781,2317658,2890445,188381487893,2816876,0
59,4,4,0,44072,36829,2317625,2890478,191510329890,2860948,0
60,4,4,0,43842,36796,2317601,2890502,194632055494,2904790,0
61,4,4,0,44219,36809,2317588,2890515,197747790182,2949009,0
62,4,4,0,44213,36782,2317581,2890522,200859971302,2993222,0
63,4,4,0,44634,36820,2317581,2890522,203969388310,3037856,0
64,4,4,0,45879,36769,2317581,2890522,207077630944,3083735,0
65,4,4,0,67420,36767,2317581,2890522,210187889893,3151155,0
66,4,4,0,44203,36811,2317581,2890522,213324945415,3195358,0
67,4,4,0,43792,36756,2317581,2890522,216452964896,3239150,0
68,4,4,0,44391,36787,2317581,2890522,219572992712,3283541,0
69,4,4,0,44141,36760,2317581,2890522,222688693403,3327682,0
70,4,4,0,44354,36733,2317581,2890522,225800130934,3372036,0
71,4,4,0,45538,36761,2317581,2890522,228909045926,3417574,0
72,4,4,0,67906,36727,2317581,2890522,232018952778,3485480,0
73,4,4,0,44117,36761,2317581,2890522,235157249858,3529597,0
74,4,4,0,43967,36744,2317581,2890522,238285568792,3573564,0
75,4,4,0,44274,36783,2317581,2890522,241406015540,3617838,0
76,4,4,0,44122,36754,2317581,2890522,244521441641,3661960,0
77,4,4,0,44656,36764,2317581,2890522,247632450159,3706616,0
78,4,4,0,44938,36755,2317581,2890522,250741636339,3751554,0
79,4,4,0,68043,36775,2317581,2890522,253849865546,3819597,0
80,4,4,0,44092,36750,2317581,2890522,256987980808,3863689,0
81,4,4,0,44078,36765,2317581,2890522,260115737356,3907767,0
