step,level_used,level_next,growth,pulses,latches,mass_u,mass_v,total_input,total_output,errors
0,1,1,0,0,31294,3451479,1765579,3892038152,0,0
1,1,1,0,6051,31872,3415026,1802032,7481407215,6051,0
2,1,1,0,125021,32379,3378593,1838465,10860785604,131072,0
3,1,1,0,16177,33577,3342224,1874834,14398042579,147249,0
4,1,1,0,63556,33505,3305964,1911094,17767076210,210805,0
5,1,1,0,40936,34055,3269794,1947264,21154714817,251741,0
6,1,1,0,44119,33681,3233719,1983339,24485257467,295860,0
7,1,1,0,82193,34438,3197748,2019310,27782561155,378053,0
8,1,1,0,35963,34031,3161868,2055190,31119083489,414016,0
9,1,1,0,51279,34561,3126095,2090963,34393738932,465295,0
10,1,1,0,37829,34393,3090403,2126655,37666789811,503124,0
11,1,1,0,48740,34751,3054810,2162248,40896894211,551864,0
12,1,1,0,43295,34686,3019315,2197743,44126793578,595159,0
13,1,1,0,77504,34921,2983912,2233146,47338468965,672663,0
14,1,1,0,44627,34874,2948626,2268432,50589577082,717290,0
15,1,2,1,42964,35071,2913449,2303609,53819471980,760254,0
16,2,2,0,45606,35095,2878377,2338681,57027511740,805860,0
17,2,2,0,42868,35136,2843424,2373634,60226020358,848728,0
18,2,2,0,46491,35246,2808602,2408456,63407751158,895219,0
19,2,2,0,43097,35290,2773934,2443124,66586968349,938316,0
20,2,2,0,77477,35335,2739428,2477630,69752161253,1015793,0
21,2,2,0,41300,35404,2705086,2511972,72961087656,1057093,0
22,2,2,0,45587,35488,2670920,2546138,76141602710,1102680,0
23,2,2,0,43007,35517,2636981,2580077,79312947265,1145687,0
24,2,2,0,44394,35512,2603243,2613815,82468430431,1190081,0
25,2,2,0,44679,35519,2569825,2647233,85615249157,1234760,0
26,2,2,0,43817,35635,2536815,2680243,88755194136,1278577,0
27,2,2,0,45906,35614,2504400,2712658,91886038573,1324483,0
28,2,2,0,71665,35699,2472990,2744068,95014725573,1396148,0
29,2,2,0,43937,35627,2443272,2773786,98172053033,1440085,0
30,2,2,0,42801,35653,2416076,2800982,101313933835,1482886,0
31,2,3,1,43799,35685,2392166,2824892,104440093486,1526685,0
32,3,3,0,43652,36116,2372098,2844960,107557779851,1570337,0
33,3,3,0,44207,36190,2356202,2860856,110668125721,1614544,0
34,3,3,0,44590,36174,2344532,2872526,113773827854,1659134,0
35,3,3,0,71925,36244,2336613,2880445,116876593950,1731059,0
36,3,3,0,43152,36182,2331648,2885410,120012876840,1774211,0
37,3,3,0,43170,36271,2328767,2888291,123134692168,1817381,0
38,3,3,0,43418,36235,2326975,2890083,126245471527,1860799,0
39,3,3,0,43849,36312,2325740,2891318,129348678089,1904648,0
40,3,3,0,43347,36241,2324763,2892295,132447156726,1947995,0
41,3,3,0,44861,36309,2323942,2893116,135540464693,1992856,0
42,3,3,0,44973,36230,2323278,2893780,138633907988,2037829,0
43,3,3,0,69594,36354,2322704,2894354,141726407372,2107423,0
44,3,3,0,42778,36295,2322215,2894843,144849887707,2150201,0
45,3,3,0,43881,36363,2321784,2895274,147960136616,2194082,0
46,3,3,0,42958,36294,2321422,2895636,151063569160,2237040,0
47,3,4,1,44336,36355,2321104,2895954,154159004783,2281376,0
48,4,4,0,43661,36849,2320821,2896237,157257622157,2325037,0
49,4,4,0,45223,37013,2320573,2896485,160356337514,2370260,0
50,4,4,0,69578,37030,2320357,2896701,163459483747,2439838,0
51,4,4,0,43760,37101,2320174,2896884,166595725078,2483598,0
52,4,4,0,43377,37049,2320021,2897037,169723285871,2526975,0
53,4,4,0,44436,37108,2319882,2897176,172843111550,2571411,0
54,4,4,0,43593,37091,2319765,2897293,175960260562,2615004,0
55,4,4,0,44781,37122,2319668,2897390,179072522383,2659785,0
56,4,4,0,44408,37103,2319592,2897466,182184781755,2704193,0
57,4,4,0,70292,37076,2319529,2897529,185295328582,2774485,0
58,4,4,0,43289,37107,2319480,2897578,188439888014,2817774,0
59,4,4,0,44201,37119,2319441,2897617,191571795719,2861975,0
60,4,4,0,43768,37097,2319418,2897640,194696974620,2905743,0
61,4,4,0,44200,37128,2319402,2897656,197815755214,2949943,0
62,4,4,0,44502,37090,2319397,2897661,200930942079,2994445,0
63,4,4,0,44406,37109,2319397,2897661,204044138574,3038851,0
64,4,4,0,46174,37079,2319397,2897661,207155226420,3085025,0
65,4,4,0,67127,37062,2319397,2897661,210269188904,3152152,0
66,4,4,0,44602,37107,2319397,2897661,213408806125,3196754,0
67,4,4,0,43545,37069,2319397,2897661,216540678145,3240299,0
68,4,4,0,44634,37086,2319397,2897661,219663576009,3284933,0
69,4,4,0,44060,37079,2319397,2897661,222782939045,3328993,0
70,4,4,0,44584,37056,2319397,2897661,225897520462,3373577,0
71,4,4,0,45482,37093,2319397,2897661,229010256893,3419059,0
72,4,4,0,68068,37062,2319397,2897661,232123629853,3487127,0
73,4,4,0,44082,37078,2319397,2897661,235265697066,3531209,0
74,4,4,0,44112,37109,2319397,2897661,238397496721,3575321,0
75,4,4,0,44339,37106,2319397,2897661,241521618467,3619660,0
76,4,4,0,44035,37045,2319397,2897661,244640737424,3663695,0
77,4,4,0,45050,37099,2319397,2897661,247754944013,3708745,0
78,4,4,0,44552,37068,2319397,2897661,250868422186,3753297,0
79,4,4,0,68363,37088,2319397,2897661,253979487102,3821660,0
80,4,4,0,43900,37050,2319397,2897661,257121428955,3865560,0
81,4,4,0,44416,37031,2319397,2897661,260252206551,3909976,0
82,4,4,0,44257,37095,2319397,2897661,263376248901,3954233,0
83,4,4,0,44186,37109,2319397,2897661,266494801536,3998419,0
84,4,4,0,44850,37109,2319397,2897661,269608887318,4043269,0
85,4,4,0,44589,37102,2319397,2897661,272721481563,4087858,0
86,4,4,0,46110,37064,2319397,2897661,275831791182,4133968,0
87,4,4,0,65650,37069,2319397,2897661,278944690103,4199618,0
88,4,4,0,45051,37098,2319397,2897661,282081413336,4244669,0
89,4,4,0,43769,37105,2319397,2897661,285211493852,4288438,0
90,4,4,0,44971,37132,2319397,2897661,288332756946,4333409,0
91,4,4,0,44158,37094,2319397,2897661,291451092940,4377567,0
92,4,4,0,45192,37129,2319397,2897661,294564472548,4422759,0
93,4,4,0,44942,37079,2319397,2897661,297677368910,4467701,0
94,4,4,0,66701,37113,2319397,2897661,300788522546,4534402,0
95,4,4,0,44208,37072,2319397,2897661,303927775534,4578610,0
96,4,4,0,44675,37081,2319397,2897661,307056836512,4623285,0
97,4,4,0,44314,37098,2319397,2897661,310179902651,4667599,0
98,4,4,0,44627,37082,2319397,2897661,313297403185,4712226,0
99,4,4,0,44897,37099,2319397,2897661,316411562862,4757123,0
100,4,4,0,45129,37065,2319397,2897661,319523882946,4802252,0
101,4,4,0,46410,37067,2319397,2897661,322635211354,4848662,0
102,4,4,0,64209,37047,2319397,2897661,325748585544,4912871,0
103,4,4,0,44605,37094,2319397,2897661,328884248980,4957476,0
104,4,4,0,44610,37054,2319397,2897661,332011718185,5002086,0
105,4,4,0,44433,37122,2319397,2897661,335133187717,5046519,0
106,4,4,0,44984,37094,2319397,2897661,338249806105,5091503,0
107,4,4,0,44841,37067,2319397,2897661,341363908410,5136344,0
108,4,4,0,45962,37057,2319397,2897661,344475827127,5182306,0
109,4,4,0,64638,37054,2319397,2897661,347588756030,5246944,0
110,4,4,0,44745,37083,2319397,2897661,350725416243,5291689,0
111,4,4,0,44542,37098,2319397,2897661,353853729272,5336231,0
