step,level_used,level_next,growth,pulses,latches,mass_u,mass_v,total_input,total_output,errors
0,1,1,0,0,492,56579,29468,62680135,0,0
1,1,1,0,75,539,55982,30065,120497799,75,0
2,1,1,0,2037,537,55391,30656,174858047,2112,0
3,1,1,0,192,561,54806,31241,231925061,2304,0
4,1,1,0,1095,555,54228,31819,286047911,3399,0
5,1,1,0,600,559,53655,32392,340633244,3999,0
6,1,1,0,817,535,53088,32959,393968462,4816,0
7,1,1,0,1214,592,52525,33522,447249481,6030,0
8,1,1,0,629,534,51970,34077,500976160,6659,0
9,1,1,0,800,580,51417,34630,553842612,7459,0
10,1,1,0,630,535,50870,35177,606448904,8089,0
11,1,1,0,824,568,50329,35718,658431664,8913,0
12,1,1,0,691,542,49797,36250,710409152,9604,0
13,1,1,0,1168,567,49270,36777,762045491,10772,0
14,1,1,0,754,549,48747,37300,814377474,11526,0
15,1,2,1,669,550,48230,37817,866440799,12195,0
16,2,2,0,776,555,47716,38331,918018932,12971,0
17,2,2,0,695,556,47213,38834,969527164,13666,0
18,2,2,0,775,546,46722,39325,1020683865,14441,0
19,2,2,0,712,563,46242,39805,1071844817,15153,0
20,2,2,0,1102,565,45778,40269,1122755576,16255,0
21,2,2,0,715,549,45328,40719,1174341702,16970,0
22,2,2,0,710,555,44891,41156,1225608406,17680,0
23,2,2,0,764,542,44465,41582,1276565464,18444,0
24,2,2,0,695,552,44059,41988,1327473016,19139,0
25,2,2,0,778,547,43675,42372,1378123751,19917,0
26,2,2,0,737,545,43313,42734,1428794516,20654,0
27,2,2,0,758,553,42969,43078,1479368513,21412,0
28,2,2,0,980,548,42648,43399,1529932097,22392,0
29,2,2,0,722,551,42364,43683,1580732088,23114,0
30,2,2,0,734,548,42126,43921,1631326479,23848,0
31,2,3,1,740,552,41931,44116,1681796337,24588,0
32,3,3,0,735,550,41771,44276,1732201815,25323,0
33,3,3,0,760,563,41640,44407,1782526847,26083,0
34,3,3,0,712,550,41533,44514,1832842680,26795,0
35,3,3,0,1005,558,41448,44599,1883050987,27800,0
36,3,3,0,711,565,41379,44668,1933616867,28511,0
37,3,3,0,736,554,41323,44724,1983992445,29247,0
38,3,3,0,741,562,41282,44765,2034237701,29988,0
39,3,3,0,715,556,41251,44796,2084487215,30703,0
40,3,3,0,758,545,41225,44822,2134627323,31461,0
41,3,3,0,734,550,41200,44847,2184764927,32195,0
42,3,3,0,756,556,41182,44865,2234900345,32951,0
43,3,3,0,946,538,41169,44878,2284961781,33897,0
44,3,3,0,721,561,41159,44888,2335283044,34618,0
45,3,3,0,726,563,41151,44896,2385482565,35344,0
46,3,3,0,729,541,41144,44903,2435577244,36073,0
47,3,4,1,748,560,41137,44910,2485609911,36821,0
48,4,4,0,726,549,41131,44916,2535695735,37547,0
49,4,4,0,745,546,41126,44921,2585811862,38292,0
50,4,4,0,997,563,41122,44925,2635990231,39289,0
51,4,4,0,713,568,41120,44927,2686536324,40002,0
52,4,4,0,735,562,41119,44928,2736952174,40737,0
53,4,4,0,731,575,41118,44929,2787369862,41468,0
54,4,4,0,720,556,41118,44929,2837720382,42188,0
55,4,4,0,760,555,41118,44929,2888013554,42948,0
56,4,4,0,750,543,41118,44929,2938317393,43698,0
57,4,4,0,989,565,41118,44929,2988664313,44687,0
58,4,4,0,731,559,41118,44929,3039317107,45418,0
59,4,4,0,682,557,41118,44929,3089856340,46100,0
60,4,4,0,753,561,41118,44929,3140166939,46853,0
61,4,4,0,688,544,41118,44929,3190518604,47541,0
62,4,4,0,850,561,41118,44929,3240697951,48391,0
63,4,4,0,634,572,41118,44929,3291229405,49025,0
