step,level_used,level_next,growth,pulses,latches,mass_u,mass_v,total_input,total_output,errors
0,1,1,0,0,492,57425,29703,62683894,0,0
1,1,1,0,83,539,56822,30306,120507573,83,0
2,1,1,0,2029,537,56226,30902,174904915,2112,0
3,1,1,0,204,559,55638,31490,231971483,2316,0
4,1,1,0,1082,554,55054,32074,286153478,3398,0
5,1,1,0,602,560,54478,32650,340736792,4000,0
6,1,1,0,816,535,53903,33225,394079599,4816,0
7,1,1,0,1201,596,53335,33793,447378103,6017,0
8,1,1,0,646,527,52773,34355,501067063,6663,0
9,1,1,0,793,589,52216,34912,553976455,7456,0
10,1,1,0,624,536,51660,35468,606610631,8080,0
11,1,1,0,832,556,51109,36019,658565389,8912,0
12,1,1,0,709,541,50566,36562,710566662,9621,0
13,1,1,0,1153,573,50031,37097,762265344,10774,0
14,1,1,0,757,555,49502,37626,814601819,11531,0
15,1,2,1,658,551,48979,38149,866693968,12189,0
16,2,2,0,776,559,48460,38668,918264407,12965,0
17,2,2,0,686,549,47953,39175,969761884,13651,0
18,2,2,0,787,546,47460,39668,1020899238,14438,0
19,2,2,0,738,565,46969,40159,1072049689,15176,0
20,2,2,0,1072,560,46497,40631,1123035506,16248,0
21,2,2,0,741,550,46034,41094,1174606449,16989,0
22,2,2,0,686,555,45581,41547,1225931100,17675,0
23,2,2,0,785,539,45138,41990,1276865688,18460,0
24,2,2,0,675,541,44711,42417,1327805226,19135,0
25,2,2,0,801,555,44301,42827,1378433644,19936,0
26,2,2,0,721,547,43907,43221,1429148022,20657,0
27,2,2,0,763,555,43534,43594,1479688713,21420,0
28,2,2,0,977,549,43187,43941,1530215303,22397,0
29,2,2,0,737,551,42873,44255,1580988672,23134,0
30,2,2,0,707,549,42599,44529,1631629284,23841,0
31,2,3,1,759,552,42341,44787,1682015681,24600,0
32,3,3,0,724,554,42119,45009,1732411122,25324,0
33,3,3,0,750,570,41934,45194,1782676920,26074,0
34,3,3,0,723,559,41789,45339,1832903455,26797,0
35,3,3,0,992,572,41676,45452,1883086060,27789,0
36,3,3,0,709,569,41592,45536,1933565361,28498,0
37,3,3,0,751,551,41523,45605,1983855115,29249,0
38,3,3,0,741,568,41464,45664,2034087452,29990,0
39,3,3,0,697,550,41421,45707,2084319736,30687,0
40,3,3,0,761,551,41383,45745,2134362668,31448,0
41,3,3,0,725,556,41353,45775,2184437336,32173,0
42,3,3,0,783,550,41327,45801,2234463802,32956,0
43,3,3,0,940,544,41310,45818,2284535780,33896,0
44,3,3,0,720,567,41300,45828,2334822497,34616,0
45,3,3,0,715,569,41293,45835,2384967279,35331,0
46,3,3,0,736,537,41288,45840,2434987622,36067,0
47,3,4,1,739,561,41284,45844,2484968130,36806,0
48,4,4,0,736,556,41280,45848,2535008632,37542,0
49,4,4,0,731,559,41276,45852,2585114947,38273,0
50,4,4,0,993,569,41273,45855,2635246544,39266,0
51,4,4,0,740,564,41271,45857,2685725301,40006,0
52,4,4,0,718,570,41270,45858,2736213369,40724,0
53,4,4,0,731,564,41269,45859,2786599456,41455,0
54,4,4,0,712,573,41268,45860,2836958763,42167,0
55,4,4,0,755,554,41267,45861,2887192041,42922,0
56,4,4,0,753,554,41266,45862,2937457905,43675,0
57,4,4,0,998,570,41265,45863,2987767647,44673,0
58,4,4,0,717,561,41265,45863,3038421746,45390,0
59,4,4,0,706,562,41265,45863,3088908452,46096,0
60,4,4,0,737,580,41265,45863,3139271256,46833,0
61,4,4,0,706,544,41265,45863,3189603963,47539,0
62,4,4,0,819,564,41265,45863,3239848820,48358,0
63,4,4,0,657,564,41265,45863,3290315686,49015,0
