step,level_used,level_next,growth,pulses,latches,mass_u,mass_v,total_input,total_output,errors
0,1,1,0,0,492,57425,29703,65113576,0,0
1,1,1,0,653,539,56822,30306,127189724,653,0
2,1,1,0,1459,551,56225,30903,187006140,2112,0
3,1,1,0,670,562,55640,31488,245137942,2782,0
4,1,1,0,763,567,55060,32068,301987916,3545,0
5,1,1,0,788,572,54487,32641,357877339,4333,0
6,1,1,0,670,574,53918,33210,413028071,5003,0
7,1,1,0,1319,576,53354,33774,467619226,6322,0
8,1,1,0,660,576,52795,34333,521792351,6982,0
9,1,1,0,806,576,52243,34885,575649691,7788,0
10,1,1,0,781,576,51701,35427,629258800,8569,0
11,1,1,0,700,576,51162,35966,682664740,9269,0
12,1,1,0,884,576,50625,36503,735902819,10153,0
13,1,1,0,631,576,50104,37024,789000575,10784,0
14,1,1,0,963,576,49591,37537,841983365,11747,0
15,1,2,1,920,576,49081,38047,894878604,12667,0
16,2,2,0,881,576,48581,38547,947699092,13548,0
17,2,2,0,655,576,48093,39035,1000446927,14203,0
18,2,2,0,845,576,47612,39516,1053125122,15048,0
19,2,2,0,720,576,47135,39993,1105726599,15768,0
20,2,2,0,785,576,46679,40449,1158255527,16553,0
21,2,2,0,807,576,46238,40890,1210714177,17360,0
22,2,2,0,762,576,45803,41325,1263108484,18122,0
23,2,2,0,1033,576,45386,41742,1315446953,19155,0
24,2,2,0,692,576,44981,42147,1367752556,19847,0
25,2,2,0,829,576,44594,42534,1420019983,20676,0
26,2,2,0,691,576,44222,42906,1472247064,21367,0
27,2,2,0,819,576,43870,43258,1524432080,22186,0
28,2,2,0,720,576,43547,43581,1576574104,22906,0
29,2,2,0,833,576,43253,43875,1628675794,23739,0
30,2,2,0,749,576,42999,44129,1680735957,24488,0
31,2,3,1,999,576,42774,44354,1732753481,25487,0
32,3,3,0,745,584,42592,44536,1784744873,26232,0
33,3,3,0,763,584,42443,44685,1836709447,26995,0
34,3,3,0,765,584,42329,44799,1888651298,27760,0
35,3,3,0,764,584,42246,44882,1940578567,28524,0
36,3,3,0,765,584,42189,44939,1992501672,29289,0
37,3,3,0,774,584,42147,44981,2044420727,30063,0
38,3,3,0,807,584,42118,45010,2096336682,30870,0
39,3,3,0,929,584,42099,45029,2148243996,31799,0
40,3,3,0,797,584,42095,45033,2200143549,32596,0
41,3,3,0,713,584,42094,45034,2252039296,33309,0
42,3,3,0,795,584,42093,45035,2303924908,34104,0
43,3,3,0,742,584,42092,45036,2355802610,34846,0
44,3,3,0,760,584,42092,45036,2407673349,35606,0
45,3,3,0,816,584,42092,45036,2459537726,36422,0
46,3,3,0,749,584,42092,45036,2511384704,37171,0
47,3,4,1,978,584,42092,45036,2563217555,38149,0
48,4,4,0,749,594,42092,45036,2615144196,38898,0
49,4,4,0,753,596,42092,45036,2667141299,39651,0
50,4,4,0,777,597,42092,45036,2719190427,40428,0
51,4,4,0,741,597,42092,45036,2771275898,41169,0
52,4,4,0,798,597,42092,45036,2823392900,41967,0
53,4,4,0,797,597,42092,45036,2875537042,42764,0
54,4,4,0,758,597,42092,45036,2927699801,43522,0
55,4,4,0,995,597,42092,45036,2979866473,44517,0
56,4,4,0,737,597,42092,45036,3032036287,45254,0
57,4,4,0,789,597,42092,45036,3084205251,46043,0
58,4,4,0,722,597,42092,45036,3136375250,46765,0
59,4,4,0,808,597,42092,45036,3188547907,47573,0
60,4,4,0,794,597,42092,45036,3240722439,48367,0
61,4,4,0,781,597,42092,45036,3292897404,49148,0
62,4,4,0,747,597,42092,45036,3345067758,49895,0
63,4,4,0,969,597,42092,45036,3397237712,50864,0
