global_bit,kind,control_bit,cell,local_bit,x,y,z,bit
1,control,0,,,0.0,0.0,0.0,0
2,control,1,,,0.0,0.0,0.015625,0
3,control,2,,,0.0,0.0,0.03125,0
4,control,3,,,0.0,0.0,0.046875,0
5,control,4,,,0.0,0.0,0.0625,0
6,control,5,,,0.0,0.0,0.078125,0
7,control,6,,,0.0,0.0,0.09375,0
8,control,7,,,0.0,0.0,0.109375,0
9,control,8,,,0.0,0.0,0.125,0
10,control,9,,,0.0,0.0,0.140625,0
11,control,10,,,0.0,0.0,0.15625,0
12,control,11,,,0.0,0.0,0.171875,1
13,control,12,,,0.0,0.0,0.1875,0
14,control,13,,,0.0,0.0,0.203125,0
15,control,14,,,0.0,0.0,0.21875,0
16,control,15,,,0.0,0.0,0.234375,0
17,control,16,,,0.0,0.0,0.25,0
18,control,17,,,0.0,0.0,0.265625,0
19,control,18,,,0.0,0.0,0.28125,1
20,control,19,,,0.0,0.0,0.296875,0
21,control,20,,,0.0,0.0,0.3125,0
22,control,21,,,0.0,0.0,0.328125,0
23,control,22,,,0.0,0.0,0.34375,0
24,control,23,,,0.0,0.0,0.359375,0
25,control,24,,,0.0,0.0,0.375,0
26,control,25,,,0.0,0.0,0.390625,0
27,control,26,,,0.0,0.0,0.40625,0
28,cell,,0,0,0.03125,0.0,0.0,0
29,cell,,0,1,0.03125,0.0,0.015625,1
30,cell,,0,2,0.03125,0.0,0.03125,0
31,cell,,0,3,0.03125,0.0,0.046875,0
32,cell,,0,4,0.03125,0.0,0.0625,0
33,cell,,0,5,0.03125,0.0,0.078125,0
34,cell,,0,6,0.03125,0.0,0.09375,0
35,cell,,0,7,0.03125,0.0,0.109375,1
36,cell,,0,8,0.03125,0.0,0.125,0
37,cell,,0,9,0.03125,0.0,0.140625,0
38,cell,,0,10,0.03125,0.0,0.15625,0
39,cell,,0,11,0.03125,0.0,0.171875,0
40,cell,,0,12,0.03125,0.0,0.1875,0
41,cell,,0,13,0.03125,0.0,0.203125,0
42,cell,,0,14,0.03125,0.0,0.21875,0
43,cell,,0,15,0.03125,0.0,0.234375,0
44,cell,,0,16,0.03125,0.0,0.25,0
45,cell,,0,17,0.03125,0.0,0.265625,0
46,cell,,0,18,0.03125,0.0,0.28125,0
47,cell,,0,19,0.03125,0.0,0.296875,0
48,cell,,0,20,0.03125,0.0,0.3125,0
49,cell,,0,21,0.03125,0.0,0.328125,0
50,cell,,0,22,0.03125,0.0,0.34375,0
51,cell,,0,23,0.03125,0.0,0.359375,0
52,cell,,0,24,0.03125,0.0,0.375,0
53,cell,,0,25,0.03125,0.0,0.390625,0
54,cell,,0,26,0.03125,0.0,0.40625,0
55,cell,,0,27,0.03125,0.0,0.421875,0
56,cell,,0,28,0.03125,0.0,0.4375,0
57,cell,,0,29,0.03125,0.0,0.453125,0
58,cell,,0,30,0.03125,0.0,0.46875,0
59,cell,,0,31,0.03125,0.0,0.484375,0
60,cell,,0,32,0.03125,0.0,0.5,0
61,cell,,0,33,0.03125,0.0,0.515625,0
62,cell,,0,34,0.03125,0.0,0.53125,0
63,cell,,0,35,0.03125,0.0,0.546875,1
64,cell,,0,36,0.03125,0.0,0.5625,1
65,cell,,0,37,0.03125,0.0,0.578125,1
66,cell,,0,38,0.03125,0.0,0.59375,0
67,cell,,0,39,0.03125,0.0,0.609375,1
68,cell,,0,40,0.03125,0.0,0.625,0
69,cell,,0,41,0.03125,0.0,0.640625,0
70,cell,,0,42,0.03125,0.0,0.65625,0
71,cell,,0,43,0.03125,0.0,0.671875,0
72,cell,,0,44,0.03125,0.0,0.6875,0
73,cell,,0,45,0.03125,0.0,0.703125,0
74,cell,,0,46,0.03125,0.0,0.71875,0
75,cell,,0,47,0.03125,0.0,0.734375,0
76,cell,,0,48,0.03125,0.0,0.75,0
77,cell,,0,49,0.03125,0.0,0.765625,0
78,cell,,0,50,0.03125,0.0,0.78125,0
79,cell,,0,51,0.03125,0.0,0.796875,0
80,cell,,0,52,0.03125,0.0,0.8125,0
81,cell,,0,53,0.03125,0.0,0.828125,0
82,cell,,0,54,0.03125,0.0,0.84375,0
83,cell,,0,55,0.03125,0.0,0.859375,0
84,cell,,0,56,0.03125,0.0,0.875,0
85,cell,,0,57,0.03125,0.0,0.890625,0
86,cell,,0,58,0.03125,0.0,0.90625,0
87,cell,,0,59,0.03125,0.0,0.921875,0
88,cell,,0,60,0.03125,0.0,0.9375,0
89,cell,,0,61,0.03125,0.0,0.953125,0
90,cell,,0,62,0.03125,0.0,0.96875,0
91,cell,,0,63,0.03125,0.0,0.984375,0
92,cell,,0,64,0.03125,0.0,1.0,0
93,cell,,0,65,0.03125,0.0,1.015625,1
94,cell,,0,66,0.03125,0.0,1.03125,0
95,cell,,0,67,0.03125,0.0,1.046875,0
96,cell,,0,68,0.03125,0.0,1.0625,1
97,cell,,0,69,0.03125,0.0,1.078125,1
98,cell,,0,70,0.03125,0.0,1.09375,1
99,cell,,0,71,0.03125,0.0,1.109375,1
100,cell,,0,72,0.03125,0.0,1.125,0
101,cell,,0,73,0.03125,0.0,1.140625,0
102,cell,,0,74,0.03125,0.0,1.15625,1
103,cell,,0,75,0.03125,0.0,1.171875,0
104,cell,,0,76,0.03125,0.0,1.1875,0
105,cell,,0,77,0.03125,0.0,1.203125,0
106,cell,,0,78,0.03125,0.0,1.21875,0
107,cell,,0,79,0.03125,0.0,1.234375,1
108,cell,,0,80,0.03125,0.0,1.25,0
109,cell,,0,81,0.03125,0.0,1.265625,1
110,cell,,0,82,0.03125,0.0,1.28125,1
111,cell,,0,83,0.03125,0.0,1.296875,0
112,cell,,0,84,0.03125,0.0,1.3125,1
113,cell,,0,85,0.03125,0.0,1.328125,1
114,cell,,0,86,0.03125,0.0,1.34375,0
115,cell,,0,87,0.03125,0.0,1.359375,0
116,cell,,0,88,0.03125,0.0,1.375,1
117,cell,,0,89,0.03125,0.0,1.390625,1
118,cell,,0,90,0.03125,0.0,1.40625,1
119,cell,,0,91,0.03125,0.0,1.421875,1
120,cell,,0,92,0.03125,0.0,1.4375,0
121,cell,,0,93,0.03125,0.0,1.453125,0
122,cell,,0,94,0.03125,0.0,1.46875,0
123,cell,,0,95,0.03125,0.0,1.484375,0
124,cell,,0,96,0.03125,0.0,1.5,1
125,cell,,0,97,0.03125,0.0,1.515625,0
126,cell,,0,98,0.03125,0.0,1.53125,1
127,cell,,0,99,0.03125,0.0,1.546875,0
128,cell,,0,100,0.03125,0.0,1.5625,0
129,cell,,0,101,0.03125,0.0,1.578125,0
130,cell,,0,102,0.03125,0.0,1.59375,1
131,cell,,0,103,0.03125,0.0,1.609375,0
132,cell,,0,104,0.03125,0.0,1.625,1
133,cell,,0,105,0.03125,0.0,1.640625,1
134,cell,,0,106,0.03125,0.0,1.65625,1
135,cell,,0,107,0.03125,0.0,1.671875,0
136,cell,,0,108,0.03125,0.0,1.6875,1
137,cell,,0,109,0.03125,0.0,1.703125,1
138,cell,,0,110,0.03125,0.0,1.71875,1
139,cell,,0,111,0.03125,0.0,1.734375,0
140,cell,,0,112,0.03125,0.0,1.75,0
141,cell,,0,113,0.03125,0.0,1.765625,1
142,cell,,0,114,0.03125,0.0,1.78125,1
143,cell,,0,115,0.03125,0.0,1.796875,0
144,cell,,0,116,0.03125,0.0,1.8125,1
145,cell,,0,117,0.03125,0.0,1.828125,0
146,cell,,1,0,0.03064954001260095,0.006096572563004008,0.0,0
147,cell,,1,1,0.03064954001260095,0.006096572563004008,0.015625,1
148,cell,,1,2,0.03064954001260095,0.006096572563004008,0.03125,0
149,cell,,1,3,0.03064954001260095,0.006096572563004008,0.046875,1
150,cell,,1,4,0.03064954001260095,0.006096572563004008,0.0625,1
151,cell,,1,5,0.03064954001260095,0.006096572563004008,0.078125,0
152,cell,,1,6,0.03064954001260095,0.006096572563004008,0.09375,0
153,cell,,1,7,0.03064954001260095,0.006096572563004008,0.109375,1
154,cell,,1,8,0.03064954001260095,0.006096572563004008,0.125,0
155,cell,,1,9,0.03064954001260095,0.006096572563004008,0.140625,0
156,cell,,1,10,0.03064954001260095,0.006096572563004008,0.15625,0
157,cell,,1,11,0.03064954001260095,0.006096572563004008,0.171875,0
158,cell,,1,12,0.03064954001260095,0.006096572563004008,0.1875,0
159,cell,,1,13,0.03064954001260095,0.006096572563004008,0.203125,0
160,cell,,1,14,0.03064954001260095,0.006096572563004008,0.21875,0
161,cell,,1,15,0.03064954001260095,0.006096572563004008,0.234375,0
162,cell,,1,16,0.03064954001260095,0.006096572563004008,0.25,0
163,cell,,1,17,0.03064954001260095,0.006096572563004008,0.265625,0
164,cell,,1,18,0.03064954001260095,0.006096572563004008,0.28125,0
165,cell,,1,19,0.03064954001260095,0.006096572563004008,0.296875,0
166,cell,,1,20,0.03064954001260095,0.006096572563004008,0.3125,0
167,cell,,1,21,0.03064954001260095,0.006096572563004008,0.328125,0
168,cell,,1,22,0.03064954001260095,0.006096572563004008,0.34375,0
169,cell,,1,23,0.03064954001260095,0.006096572563004008,0.359375,0
170,cell,,1,24,0.03064954001260095,0.006096572563004008,0.375,0
171,cell,,1,25,0.03064954001260095,0.006096572563004008,0.390625,0
172,cell,,1,26,0.03064954001260095,0.006096572563004008,0.40625,0
173,cell,,1,27,0.03064954001260095,0.006096572563004008,0.421875,0
174,cell,,1,28,0.03064954001260095,0.006096572563004008,0.4375,0
175,cell,,1,29,0.03064954001260095,0.006096572563004008,0.453125,0
176,cell,,1,30,0.03064954001260095,0.006096572563004008,0.46875,0
177,cell,,1,31,0.03064954001260095,0.006096572563004008,0.484375,0
178,cell,,1,32,0.03064954001260095,0.006096572563004008,0.5,1
179,cell,,1,33,0.03064954001260095,0.006096572563004008,0.515625,0
180,cell,,1,34,0.03064954001260095,0.006096572563004008,0.53125,0
181,cell,,1,35,0.03064954001260095,0.006096572563004008,0.546875,0
182,cell,,1,36,0.03064954001260095,0.006096572563004008,0.5625,0
183,cell,,1,37,0.03064954001260095,0.006096572563004008,0.578125,1
184,cell,,1,38,0.03064954001260095,0.006096572563004008,0.59375,1
185,cell,,1,39,0.03064954001260095,0.006096572563004008,0.609375,1
186,cell,,1,40,0.03064954001260095,0.006096572563004008,0.625,0
187,cell,,1,41,0.03064954001260095,0.006096572563004008,0.640625,0
188,cell,,1,42,0.03064954001260095,0.006096572563004008,0.65625,0
189,cell,,1,43,0.03064954001260095,0.006096572563004008,0.671875,0
190,cell,,1,44,0.03064954001260095,0.006096572563004008,0.6875,0
191,cell,,1,45,0.03064954001260095,0.006096572563004008,0.703125,0
192,cell,,1,46,0.03064954001260095,0.006096572563004008,0.71875,0
193,cell,,1,47,0.03064954001260095,0.006096572563004008,0.734375,0
194,cell,,1,48,0.03064954001260095,0.006096572563004008,0.75,0
195,cell,,1,49,0.03064954001260095,0.006096572563004008,0.765625,0
196,cell,,1,50,0.03064954001260095,0.006096572563004008,0.78125,0
197,cell,,1,51,0.03064954001260095,0.006096572563004008,0.796875,0
198,cell,,1,52,0.03064954001260095,0.006096572563004008,0.8125,0
199,cell,,1,53,0.03064954001260095,0.006096572563004008,0.828125,0
200,cell,,1,54,0.03064954001260095,0.006096572563004008,0.84375,0
201,cell,,1,55,0.03064954001260095,0.006096572563004008,0.859375,0
202,cell,,1,56,0.03064954001260095,0.006096572563004008,0.875,0
203,cell,,1,57,0.03064954001260095,0.006096572563004008,0.890625,0
204,cell,,1,58,0.03064954001260095,0.006096572563004008,0.90625,0
205,cell,,1,59,0.03064954001260095,0.006096572563004008,0.921875,0
206,cell,,1,60,0.03064954001260095,0.006096572563004008,0.9375,0
207,cell,,1,61,0.03064954001260095,0.006096572563004008,0.953125,0
208,cell,,1,62,0.03064954001260095,0.006096572563004008,0.96875,0
209,cell,,1,63,0.03064954001260095,0.006096572563004008,0.984375,0
210,cell,,1,64,0.03064954001260095,0.006096572563004008,1.0,1
211,cell,,1,65,0.03064954001260095,0.006096572563004008,1.015625,1
212,cell,,1,66,0.03064954001260095,0.006096572563004008,1.03125,1
213,cell,,1,67,0.03064954001260095,0.006096572563004008,1.046875,0
214,cell,,1,68,0.03064954001260095,0.006096572563004008,1.0625,1
215,cell,,1,69,0.03064954001260095,0.006096572563004008,1.078125,1
216,cell,,1,70,0.03064954001260095,0.006096572563004008,1.09375,1
217,cell,,1,71,0.03064954001260095,0.006096572563004008,1.109375,0
218,cell,,1,72,0.03064954001260095,0.006096572563004008,1.125,1
219,cell,,1,73,0.03064954001260095,0.006096572563004008,1.140625,1
220,cell,,1,74,0.03064954001260095,0.006096572563004008,1.15625,0
221,cell,,1,75,0.03064954001260095,0.006096572563004008,1.171875,1
222,cell,,1,76,0.03064954001260095,0.006096572563004008,1.1875,0
223,cell,,1,77,0.03064954001260095,0.006096572563004008,1.203125,0
224,cell,,1,78,0.03064954001260095,0.006096572563004008,1.21875,0
225,cell,,1,79,0.03064954001260095,0.006096572563004008,1.234375,1
226,cell,,1,80,0.03064954001260095,0.006096572563004008,1.25,0
227,cell,,1,81,0.03064954001260095,0.006096572563004008,1.265625,1
