cell,start_residual,end_residual,K,Q,identity_holds
0,0,40401,2399697,36,True
1,0,35921,2395217,36,True
2,0,21521,2380817,36,True
3,0,29431,2388727,36,True
4,0,9318,2368614,36,True
5,0,1929,2361225,36,True
6,0,54626,2348386,35,True
7,0,54474,2348234,35,True
8,0,57052,2350812,35,True
9,0,990,2360286,36,True
10,0,3149,2362445,36,True
11,0,12328,2371624,36,True
12,0,60489,2354249,35,True
13,0,61086,2354846,35,True
14,0,47357,2341117,35,True
15,0,58108,2351868,35,True
16,0,12389,2371685,36,True
17,0,6168,2365464,36,True
18,0,32339,2326099,35,True
19,0,62837,2356597,35,True
20,0,26831,2386127,36,True
21,0,38937,2398233,36,True
22,0,9693,2368989,36,True
23,0,30592,2389888,36,True
24,0,19612,2444444,37,True
25,0,32969,2457801,37,True
26,0,4287,2560191,39,True
27,0,63563,2488395,37,True
28,0,41354,2466186,37,True
29,0,15845,2440677,37,True
30,0,33460,2392756,36,True
31,0,49445,2408741,36,True
32,0,15880,2309640,35,True
33,0,10937,2304697,35,True
34,0,57181,2285405,34,True
35,0,1816,2295576,35,True
36,0,60771,2288995,34,True
37,0,36683,2264907,34,True
38,0,31974,2260198,34,True
39,0,26036,2254260,34,True
40,0,31143,2259367,34,True
41,0,38907,2267131,34,True
42,0,56414,2284638,34,True
43,0,42983,2271207,34,True
44,0,39356,2267580,34,True
45,0,35979,2264203,34,True
46,0,29716,2257940,34,True
47,0,20743,2248967,34,True
48,0,47773,2275997,34,True
49,0,9465,2237689,34,True
50,0,5134,2233358,34,True
51,0,36489,2264713,34,True
52,0,9890,2303650,35,True
53,0,62978,2291202,34,True
54,0,10910,2304670,35,True
55,0,4423,2298183,35,True
56,0,65278,2359038,35,True
57,0,6868,2366164,36,True
58,0,53303,2543671,38,True
59,0,59107,2352867,35,True
60,0,19201,2378497,36,True
61,0,58319,2352079,35,True
62,0,254,2294014,35,True
63,0,23863,2317623,35,True
