update,baseline_z7,intervened_z7,changed_cells,changed_pulses
0,34900,34900,0,0
1,36800,36800,0,0
2,39744,39744,0,0
3,39639,41559,1,0
4,41083,42526,1,0
5,39858,40943,1,0
6,40461,41277,1,0
7,40513,41128,1,0
8,38238,38702,1,0
9,38046,38397,1,1
10,35573,37760,1,1
11,35230,34956,1,0
12,34564,34364,1,0
13,31736,31589,1,0
14,31123,31016,1,0
15,28331,28254,1,1
16,26591,29992,1,1
17,29095,27428,1,0
18,27105,25858,1,0
19,30190,29258,1,0
20,28636,27940,1,0
21,32055,31536,1,0
22,30758,30369,1,0
23,34381,34089,1,0
24,33234,33015,1,0
25,36973,36809,1,0
26,35924,35801,1,0
27,39728,39636,1,0
28,38745,38676,1,0
29,42614,42563,1,0
30,45905,45864,1,0
31,44528,44497,1,0
32,46560,46534,1,0
33,47698,47679,1,0
34,46249,46235,1,0
35,46696,46686,1,0
36,46646,46638,1,1
37,44298,46212,1,1
38,44080,43595,1,0
39,43523,43159,1,0
40,42721,42448,1,0
41,39810,39606,1,0
42,39152,38999,1,0
43,36347,36232,1,0
44,35768,35682,1,1
45,33019,34875,1,1
46,32483,31955,1,1
47,29763,32058,1,1
48,30781,29049,1,0
49,27690,26394,1,0
50,29966,28994,1,0
51,27820,27091,1,0
52,30804,30257,1,0
53,29191,28778,1,0
54,32583,32273,1,0
55,31268,31033,1,0
56,34879,34700,1,0
57,33744,33607,1,0
58,37490,37387,1,0
59,36455,36374,1,0
60,40279,40218,1,0
61,39307,39258,1,0
62,43178,43138,1,0
63,45685,45655,1,0
