update,mass,pulses,events,occupancy,phase,generation,cooldown,sum_z,sum_memory
0,18677,0,32,36,1,0,1,2040245,2093577
1,18677,25,2,36,2,0,2,1998104,2087582
2,18677,39,8,31,3,0,3,2028117,2083833
3,18677,30,12,41,4,0,4,2127413,2086530
4,18677,28,8,29,5,0,5,2135886,2089583
5,18677,38,8,40,6,0,6,2171536,2094679
6,18677,31,10,32,7,0,7,2192262,2100747
7,18677,34,4,31,8,0,8,2197402,2106759
8,18677,36,10,41,9,0,9,2225613,2114157
9,18677,34,8,29,10,0,10,2228224,2121257
10,18677,32,5,34,11,0,11,2235604,2128375
11,18677,36,7,38,12,0,12,2239593,2135295
12,18677,35,8,30,13,0,13,2240762,2141858
13,18677,32,8,34,14,0,14,2241374,2148045
14,18677,35,8,36,15,0,15,2234253,2153403
15,18677,32,6,30,16,1,0,2236338,2158553
16,18677,35,13,45,17,1,1,2282503,2166265
17,18677,36,10,40,18,1,2,2319605,2175818
18,18677,34,7,43,19,1,3,2359123,2187245
19,18677,38,9,42,20,1,4,2374818,2198939
20,18677,39,8,44,21,1,5,2400448,2211503
21,18677,35,9,43,22,1,6,2425817,2224867
22,18677,37,8,41,23,1,7,2422490,2237186
23,18677,39,8,41,24,1,8,2429734,2249190
24,18677,37,8,44,25,1,9,2440280,2261106
25,18677,35,6,42,26,1,10,2440384,2272279
26,18677,40,8,45,27,1,11,2438113,2282612
27,18677,38,7,43,28,1,12,2447602,2292894
28,18677,32,9,44,29,1,13,2446542,2302465
29,18677,42,7,46,30,1,14,2433522,2310628
30,18677,38,9,40,31,1,15,2445411,2319028
31,18677,29,6,46,0,1,16,2450690,2327227
32,18677,46,8,40,1,1,16,2419116,2332939
33,18677,34,12,46,2,1,16,2444312,2339868
34,18677,36,4,42,3,1,16,2430032,2345474
35,18677,37,6,45,4,1,16,2433206,2350927
36,18677,42,10,41,5,1,16,2420095,2355216
37,18677,32,6,43,6,1,16,2436922,2360290
38,18677,35,10,45,7,1,16,2418792,2363919
39,18677,47,7,41,8,1,16,2412777,2366941
40,18677,24,11,44,9,1,16,2444238,2371738
41,18677,46,6,45,10,1,16,2390764,2372898
42,18677,30,11,43,11,1,16,2434886,2376743
43,18677,41,6,42,12,1,16,2397666,2378022
44,18677,32,8,43,13,1,16,2411912,2380113
45,18677,41,10,45,14,1,16,2398785,2381250
46,18677,42,8,41,15,1,16,2404843,2382694
47,18677,31,6,41,16,1,16,2415574,2384722
48,18677,41,7,47,17,1,16,2401167,2385721
49,18677,31,11,41,18,1,16,2409660,2387189
50,18677,38,8,45,19,1,16,2391684,2387439
51,18677,35,9,41,20,1,16,2391576,2387664
52,18677,41,9,43,21,1,16,2380931,2387216
53,18677,30,10,42,22,1,16,2392074,2387490
54,18677,41,8,44,23,1,16,2366039,2386118
55,18677,34,10,42,24,1,16,2378428,2385607
56,18677,40,8,42,25,1,16,2366095,2384357
57,18677,31,7,42,26,1,16,2376247,2383823
58,18677,40,11,45,27,1,16,2355295,2382011
59,18677,35,10,42,28,1,16,2363336,2380813
60,18677,31,5,41,29,1,16,2356279,2379249
61,18677,42,8,45,30,1,16,2341369,2376851
62,18677,33,8,43,31,1,16,2358552,2375677
63,18677,38,7,41,0,1,16,2346103,2373801
